"Ciqual 
AGB","Ciqual 
code",Groupe d'aliment,Sous-groupe d'aliment,Nom Français,LCI Name,Ingredients,Code et Nom,Groupe,Sous-groupe,mPt/kg de produit,kg CO2 eq/kg de produit,kg CVC11 eq/kg de produit,kBq U-235 eq/kg de produit,kg NMVOC eq/kg de produit,disease inc./kg de produit,CTUh/kg de produit,CTUh/kg de produit,mol H+ eq/kg de produit,kg P eq/kg de produit,kg N eq/kg de produit,mol N eq/kg de produit,CTUe/kg de produit,Pt/kg de produit,m3 depriv./kg de produit,MJ/kg de produit,kg Sb eq/kg de produit
25620,25620,aides culinaires et ingrédients divers,sauces,"Guacamole, préemballé","Guacamole, prepacked",Total,"Guacamole, préemballé (25620)",aides culinaires et ingrédients divers,sauces,0.325479268,1.468132111,2.1344488509999996e-07,0.7099926836,0.00563142113,7.760718869999999e-08,5.808160969999999e-08,1.038680631e-09,0.01090760205,0.000286220297,0.00831098064,0.034949036,28.22636648,77.50814429999998,18.871829033999997,28.001103450000002,1.5132029740000002e-05
11112,11112,aides culinaires et ingrédients divers,sauces,Harissa (sauce condimentaire),"Harissa (hot spicy sauce), prepacked",Piment,Harissa (sauce condimentaire) (11112),aides culinaires et ingrédients divers,sauces,0.05961321,0.63014454,3.6308367e-08,0.067819721,0.0018807197000000001,2.5648115e-08,8.8790309e-09,2.1983933e-10,0.0033494785,0.00021818596,0.0013229851,0.0081296437,4.3518256,4.2394616,0.9750916,7.0843768,3.4893163999999996e-06
11112,11112,aides culinaires et ingrédients divers,sauces,Harissa (sauce condimentaire),"Harissa (hot spicy sauce), prepacked",Ail,Harissa (sauce condimentaire) (11112),aides culinaires et ingrédients divers,sauces,0.004133724300000001,0.012244883,2.1303142e-09,0.0042084819,5.8645937e-05,1.0858652999999998e-09,4.5908076e-10,1.9552084e-11,0.0001382615,3.7240111e-06,0.00017742798,0.00046909418,0.2727263,1.5557214,0.27235234,0.21295999,2.4850361e-07
11112,11112,aides culinaires et ingrédients divers,sauces,Harissa (sauce condimentaire),"Harissa (hot spicy sauce), prepacked",Huile d'olive,Harissa (sauce condimentaire) (11112),aides culinaires et ingrédients divers,sauces,0.14609656999999998,0.1911224,5.4291434e-08,0.035183761,0.0027425431,8.1355978e-08,6.3112793e-08,1.2874090000000003e-09,0.011618564,0.00015907886000000003,0.005355035600000001,0.048542684,17.177115,167.19864,5.9910854,5.299359,5.8312182e-06
11112,11112,aides culinaires et ingrédients divers,sauces,Harissa (sauce condimentaire),"Harissa (hot spicy sauce), prepacked",Sel,Harissa (sauce condimentaire) (11112),aides culinaires et ingrédients divers,sauces,0.0022937337,0.01478344,9.7935778e-10,0.0016344565,5.8748766e-05,1.0559469e-09,4.7033013e-10,2.1997448e-11,0.00010895005,7.7629222e-06,2.5002694e-05,0.00021822531,0.11911438,0.10993801,0.0083398116,0.17979498,7.2073402e-07
11112,11112,aides culinaires et ingrédients divers,sauces,Harissa (sauce condimentaire),"Harissa (hot spicy sauce), prepacked",Autres étapes,Harissa (sauce condimentaire) (11112),aides culinaires et ingrédients divers,sauces,0.078335653,0.5759206,1.36242062e-07,0.68620044,0.0015301102799999996,2.7883775799999998e-08,9.362021299999998e-09,3.3302342e-10,0.0026803284,9.7001062e-05,0.00130330957,0.0080016987,5.87158891,5.0017792,0.314677882,21.044037,5.180852139999999e-06
11112,11112,aides culinaires et ingrédients divers,sauces,Harissa (sauce condimentaire),"Harissa (hot spicy sauce), prepacked",Total,Harissa (sauce condimentaire) (11112),aides culinaires et ingrédients divers,sauces,0.29047289099999996,1.4242158630000001,2.2995153497999996e-07,0.7950468604,0.006270767783,1.37029681e-07,8.228325608999999e-08,1.8818212820000002e-09,0.01789558245,0.00048575281530000003,0.008183760944000001,0.06536134589,27.79237019,178.10554021000002,7.5615470336,33.82052777,1.547062437e-05
11060,11060,aides culinaires et ingrédients divers,herbes,"Herbes de Provence, séchées","Provence herbs, dried",Origan,"Herbes de Provence, séchées (11060)",aides culinaires et ingrédients divers,herbes,0.06625998899999999,0.18208229,1.2574297999999998e-08,0.0068837074,0.00090768428,3.66423e-08,6.0446279e-09,3.408535e-10,0.0051411393,7.2658644e-05,0.0028720628,0.021945147,2.9826951,26.342037,3.953713,1.563535,1.9879463e-06
11060,11060,aides culinaires et ingrédients divers,herbes,"Herbes de Provence, séchées","Provence herbs, dried",Herbes de Provence,"Herbes de Provence, séchées (11060)",aides culinaires et ingrédients divers,herbes,0.13914598,0.3823728,2.6406025e-08,0.014455785,0.001906137,7.6948831e-08,1.2693719e-08,7.1579234e-10,0.010796393,0.00015258315,0.006031332000000001,0.046084809,6.2636597,55.318277,8.3027974,3.2834235,4.1746872e-06
11060,11060,aides culinaires et ingrédients divers,herbes,"Herbes de Provence, séchées","Provence herbs, dried",Romarin,"Herbes de Provence, séchées (11060)",aides culinaires et ingrédients divers,herbes,0.06294699000000001,0.17297817,1.1945583e-08,0.006539522,0.00086230007,3.4810185e-08,5.7423965e-09,3.238108200000001e-10,0.0048840823,6.9025711e-05,0.0027284597,0.02084789,2.8335603,25.024935,3.7560274,1.4853583,1.8885489999999999e-06
