Code AGB,Code CIQUAL,Groupe d'aliment,Sous-groupe d'aliment,Nom du Produit en Français,LCI Name,DQR,Nom et code,Total,Agriculture,Transformation,Emballage,Transport,Supermarché et distribution,Consommation,Total
11008,11008,aides culinaires et ingrédients divers,sauces,Ketchup,Ketchup,2.76,Ketchup (11008),0.146633619,0.21644734,0.20167969,0.22613436,0.25452378,0.039628148,0.0066875618,0.9451008797999999
20991,20991,aides culinaires et ingrédients divers,algues,"Kombu breton (Laminaria digitata), séchée ou déshydratée","Tangle (Laminaria digitata), dried or dehydrated",2.6,"Kombu breton (Laminaria digitata), séchée ou déshydratée (20991)",1.2052509401700002,4.5692586,1.4924151,0.29025198,0.19892614,0.020134715,0.0099427296,6.5809292646
20990,20990,aides culinaires et ingrédients divers,algues,"Kombu ou kombu japonais (Laminaria japonica), séchée ou déshydratée","Kombu or Japanese kelp (Laminaria japonica), dried or dehydrated",2.99,"Kombu ou kombu japonais (Laminaria japonica), séchée ou déshydratée (20990)",1.2318794321700004,4.5692586,1.4924151,0.29025198,0.38440419,0.020134715,0.0099427296,6.7664073145999994
20986,20986,aides culinaires et ingrédients divers,algues,"Kombu royal (Saccharina latissima), séchée ou déshydratée","Sea belt (Saccharina latissima), dried or dehydrated",2.99,"Kombu royal (Saccharina latissima), séchée ou déshydratée (20986)",1.2318794321700004,4.5692586,1.4924151,0.29025198,0.38440419,0.020134715,0.0099427296,6.7664073145999994
20985,20985,aides culinaires et ingrédients divers,algues,"Laitue de mer (Ulva sp.), séchée ou déshydratée","Sea lettuce (ulva sp.), dried or dehydrated)",2.99,"Laitue de mer (Ulva sp.), séchée ou déshydratée (20985)",1.2052509401700002,4.5692586,1.4924151,0.29025198,0.19892614,0.020134715,0.0099427296,6.5809292646
11053,11053,aides culinaires et ingrédients divers,épices,"Laurier, feuille","Bay, leaves",4.31,"Laurier, feuille (11053)",0.1355847884,0.17801135,0,0.47839023,0.17574835,0.015708527,0,0.8478584570000001
42200,42200,aides culinaires et ingrédients divers,ingrédients divers,Lécithine de soja,Soy lecithin,3.47,Lécithine de soja (42200),0.49725443440000006,5.1669394,0.13324149,0.10111942,0.63248192,0.016099071,0,6.049881301
11009,11009,aides culinaires et ingrédients divers,ingrédients divers,Levure alimentaire,Nutritional yeast,2.46,Levure alimentaire (11009),0.41975578890000004,0,5.4872264,0.0061347374,0.099624062,0.016099071,0,5.6090842704
11046,11046,aides culinaires et ingrédients divers,ingrédients divers,Levure chimique ou Poudre à lever,Baking powder or raising agent,2.85,Levure chimique ou Poudre à lever (11046),0.41975578890000004,0,5.4872264,0.0061347374,0.099624062,0.016099071,0,5.6090842704
11010,11010,aides culinaires et ingrédients divers,ingrédients divers,"Levure de boulanger, compressée","Baker's yeast, compressed",2.46,"Levure de boulanger, compressée (11010)",0.42947645930000006,0,5.4872264,0.10111942,0.10876678,0.016099071,0,5.713211671
11045,11045,aides culinaires et ingrédients divers,ingrédients divers,"Levure de boulanger, déshydratée","Baker's yeast, dehydrated",2.46,"Levure de boulanger, déshydratée (11045)",0.41975578890000004,0,5.4872264,0.0061347374,0.099624062,0.016099071,0,5.6090842704
20996,20996,aides culinaires et ingrédients divers,algues,"Lichen de mer ou pioca ou goémon rouge (Chondrus crispus), séché ou déshydraté","Carragheen mosses (Chondrus crispus), dried or dehydrated",2.99,"Lichen de mer ou pioca ou goémon rouge (Chondrus crispus), séché ou déshydraté (20996)",1.2052509401700002,4.5692586,1.4924151,0.29025198,0.19892614,0.020134715,0.0099427296,6.5809292646
11034,11034,aides culinaires et ingrédients divers,herbes,"Marjolaine, séchée","Marjoram, dried",3.75,"Marjolaine, séchée (11034)",0.3983156094,0.88293631,0,0.47839023,0.17575,0.015708527,0,1.5527850669999999
11054,11054,aides culinaires et ingrédients divers,sauces,Mayonnaise (70% MG min.),Mayonnaise (70% fat and more),2.49,Mayonnaise (70% MG min.) (11054),0.49505242600000005,1.9651864,0.39195814,0.24019162,0.36622515,0.039628148,0.0066875618,3.0098770198
11079,11079,aides culinaires et ingrédients divers,sauces,Mayonnaise à teneur réduite en matière grasse ou Mayonnaise allégée,"Mayonnaise, reduced fat or light mayonnaise",2.92,Mayonnaise à teneur réduite en matière grasse ou Mayonnaise allégée (11079),0.49505242600000005,1.9651864,0.39195814,0.24019162,0.36622515,0.039628148,0.0066875618,3.0098770198
51500,51500,aides culinaires et ingrédients divers,herbes,"Meloukhia, feuilles de corète séchées, en poudre",Molokhia powder (dried jute leaves),3.75,"Meloukhia, feuilles de corète séchées, en poudre (51500)",0.2593229494,0.82914741,0,0.47839023,0.17575,0.015708527,0,1.498996167
11027,11027,aides culinaires et ingrédients divers,herbes,"Menthe, fraîche","Mint, fresh",3.18,"Menthe, fraîche (11027)",0.1150219144,0.19581249,0,0.30248619,0.14343405,0.01727938,0.032148159,0.6911602689999999
20916,20916,aides culinaires et ingrédients divers,ingrédients divers,Miso,Miso,2.52,Miso (20916),0.2636692643,0.59892855,0.15372125,0.11005412,0.16569244,0.019530673,0,1.0479270330000001
11013,11013,aides culinaires et ingrédients divers,condiments,Moutarde,Mustard,2.47,Moutarde (11013),0.31408164829999996,0.72818111,0.23539239,0.62388551,0.218051,0.019530673,0,1.8250406829999999
11021,11021,aides culinaires et ingrédients divers,condiments,Moutarde à l'ancienne,"Mustard, with grains",2.21,Moutarde à l'ancienne (11021),0.30768465129999995,0.8964228,0.27993043,0.71469869,0.22780318,0.019530673,0,2.1383857729999995
11048,11048,aides culinaires et ingrédients divers,épices,Noix de muscade,Nutmeg,3.75,Noix de muscade (11048),0.1444087104,0.35942299,0,0.47839023,0.34159742,0.015708527,0,1.1951191669999999
20987,20987,aides culinaires et ingrédients divers,algues,"Nori (Porphyra sp.), séchée ou déshydratée","Laver (Porphyra sp.), dried or dehydrated",2.99,"Nori (Porphyra sp.), séchée ou déshydratée (20987)",1.2318794321700004,4.5692586,1.4924151,0.29025198,0.38440419,0.020134715,0.0099427296,6.7664073145999994
13147,13147,aides culinaires et ingrédients divers,condiments,"Olives vertes, fourrées ou farcies (anchois, poivrons, etc.)","Olive, green, stuffed (anchovy, sweet peppers, etc…)",2.46,"Olives vertes, fourrées ou farcies (anchois, poivrons, etc.) (13147)",0.13135853764000002,0.043831345,0.00018543333,0.49851972,0.30725531,0.037393191,0.0066875618,0.89387256113
11035,11035,aides culinaires et ingrédients divers,herbes,"Origan, séché","Oregano, dried",3.75,"Origan, séché (11035)",0.3983156094,0.88293631,0,0.47839023,0.17575,0.015708527,0,1.5527850669999999
11049,11049,aides culinaires et ingrédients divers,épices,Paprika,Paprika,4.31,Paprika (11049),1.4235719893999998,7.9183712,0.44532749,0.47839023,0.33498802,0.015708527,0,9.192785467
11061,11061,aides culinaires et ingrédients divers,épices,"Pavot, graine","Poppy, seed",3.75,"Pavot, graine (11061)",0.4568460874,1.1657065,0,0.47839023,0.17574835,0.015708527,0,1.8355536069999998
11014,11014,aides culinaires et ingrédients divers,herbes,"Persil, frais","Parsley, fresh",2.99,"Persil, frais (11014)",0.18598283969999999,0.59490828,0,0.30248619,0.14343405,0.01727938,0.029142369,1.087250269
